local_queryID,time(ms),recall,mrr
0,1.717,0.0,0.0
1,1.459,0.8,0.0
2,1.581,0.6,0.0
3,1.57,0.8,0.0
4,1.836,0.2,0.0
5,1.082,0.4,0.0
6,1.097,0.4,0.0
7,1.091,0.4,0.0
8,1.048,0.4,0.0
9,1.023,0.8,0.0
10,0.989,0.4,0.0
11,2.611,0.4,0.0
12,2.7,0.4,0.0
13,1.519,0.4,0.0
14,1.622,0.6,1.0
15,1.219,0.6,0.0
16,1.154,0.8,1.0
17,0.92,0.4,0.0
18,0.93,1.0,1.0
19,1.063,0.8,1.0
20,0.919,0.4,0.5
21,0.907,0.8,1.0
22,0.928,0.8,0.0
23,0.944,0.6,1.0
24,0.764,0.8,1.0
25,0.933,1.0,0.0
26,0.842,0.8,1.0
27,0.848,0.6,1.0
28,0.864,0.6,0.0
29,0.809,0.8,1.0
30,0.867,1.0,1.0
31,0.748,0.4,1.0
32,0.906,1.0,1.0
33,0.71,0.4,0.0
34,0.671,0.6,0.0
35,0.666,0.6,0.0
36,0.826,0.8,0.0
37,0.827,0.6,1.0
38,0.747,0.6,0.0
39,0.773,0.6,0.0
40,0.701,0.6,0.0
41,0.785,1.0,1.0
42,0.799,0.6,0.0
43,0.823,0.4,1.0
44,0.809,0.6,1.0
45,0.782,0.8,0.0
46,0.731,0.8,0.0
47,0.79,1.0,1.0
48,0.77,0.4,0.0
49,0.826,0.8,0.0
50,0.833,0.4,0.0
51,0.837,0.6,1.0
52,0.794,0.2,0.0
53,0.78,0.8,0.0
54,0.782,0.4,1.0
55,0.765,0.4,0.0
56,0.784,0.8,1.0
57,0.759,0.4,0.0
58,0.787,0.8,1.0
59,0.726,0.6,1.0
60,0.712,0.6,0.0
61,0.841,0.6,0.0
62,0.77,0.2,0.0
63,0.768,0.6,1.0
64,0.783,0.2,0.0
65,0.841,0.4,0.0
66,0.9,1.0,1.0
67,0.8,0.2,0.0
68,0.814,0.8,0.0
69,1.111,0.4,1.0
70,0.765,0.2,0.0
71,0.806,0.4,0.0
72,0.713,0.6,0.0
73,0.762,0.4,0.0
74,1.368,0.8,0.0
75,0.651,0.6,0.0
76,0.792,1.0,0.0
77,0.732,0.6,1.0
78,0.726,0.8,0.0
79,0.635,0.4,1.0
80,0.692,0.8,0.0
81,0.724,1.0,0.0
82,0.645,0.6,0.0
83,0.709,0.8,1.0
84,0.687,0.4,0.0
85,0.78,0.8,1.0
86,0.805,0.6,1.0
87,0.645,0.4,0.0
88,0.74,1.0,1.0
89,0.775,0.8,0.0
90,0.677,0.8,0.0
91,0.786,0.6,0.25
92,0.815,0.4,0.0
93,0.705,0.8,1.0
94,0.761,1.0,1.0
95,0.758,0.8,1.0
96,0.542,0.6,1.0
97,0.818,0.4,0.0
98,0.612,0.6,0.0
99,0.696,0.4,0.0
