local_queryID,time(ms),recall,mrr
0,2.201,0.6,0.0
1,1.202,0.2,0.0
2,1.323,0.6,0.0
3,2.007,0.2,0.0
4,1.616,0.4,0.0
5,1.547,0.8,0.0
6,1.718,0.6,0.0
7,1.484,0.6,0.0
8,0.865,0.8,0.0
9,1.04,1.0,0.0
10,1.66,0.2,0.0
11,1.352,0.4,0.0
12,0.812,0.0,0.0
13,0.774,0.2,0.0
14,0.776,0.2,0.0
15,0.761,0.6,0.0
16,0.845,0.2,0.0
17,0.811,0.6,0.0
18,0.702,1.0,0.0
19,0.762,0.2,0.0
20,0.728,0.8,0.0
21,0.76,0.4,0.0
22,0.767,0.0,0.0
23,0.696,0.6,0.0
24,0.725,0.6,0.0
25,0.794,0.4,0.0
26,0.789,0.4,0.0
27,0.827,0.6,0.0
28,0.826,0.8,0.0
29,0.737,0.2,0.0
30,0.713,0.8,0.0
31,0.757,0.8,0.0
32,0.842,0.4,0.0
33,0.726,0.4,0.0
34,0.694,0.0,0.0
35,0.819,0.2,0.0
36,0.751,0.8,0.0
37,0.727,0.8,0.0
38,0.719,0.4,0.0
39,0.704,0.6,0.0
40,0.726,0.6,0.0
41,0.743,0.6,0.0
42,0.725,0.4,0.0
43,0.627,0.4,0.0
44,0.765,0.0,0.0
45,0.773,0.8,0.0
46,0.816,0.4,0.0
47,0.773,1.0,0.0
48,0.803,0.4,0.0
49,0.893,0.6,0.0
50,0.736,0.6,0.0
51,0.809,0.6,0.0
52,0.73,0.4,0.0
53,0.712,0.4,0.0
54,0.748,0.6,0.0
55,0.733,0.2,0.0
56,0.695,0.6,0.0
57,0.745,0.2,0.0
58,0.767,0.6,0.0
59,0.758,0.2,0.0
60,0.701,1.0,0.0
61,0.725,0.8,0.0
62,0.85,0.4,0.0
63,0.658,0.4,0.0
64,0.707,0.6,0.0
65,0.766,0.4,0.0
66,0.781,0.4,0.0
67,0.759,0.6,0.0
68,0.731,0.4,0.0
69,0.816,0.8,0.0
70,0.758,0.2,0.0
71,0.655,0.4,0.0
72,0.755,0.4,0.0
73,0.776,0.2,0.0
74,0.783,0.2,0.0
75,0.938,0.4,0.0
76,0.853,0.6,0.0
77,0.897,0.6,0.0
78,0.809,0.8,1.0
79,0.796,0.8,1.0
80,0.938,0.4,0.0
81,0.807,1.0,1.0
82,0.79,1.0,1.0
83,0.939,1.0,1.0
84,0.854,0.4,1.0
85,0.885,1.0,1.0
86,0.95,0.8,1.0
87,1.028,1.0,1.0
88,0.83,1.0,1.0
89,0.838,1.0,1.0
90,0.799,0.6,1.0
91,0.759,1.0,1.0
92,0.802,0.8,1.0
93,0.775,1.0,1.0
94,0.675,0.8,1.0
95,0.752,1.0,1.0
96,0.739,0.8,1.0
97,0.81,0.6,1.0
98,0.74,0.6,1.0
99,0.828,1.0,1.0
